ANSC315 0102 12:30pm TuTh 1:45pm
ANSC315 0102 9:00am Th 9:50am
ANSC315 0103 12:30pm TuTh 1:45pm
ANSC315 0103 1:00pm F 1:50pm
ANSC327 0101 11:00am TuTh 12:15pm
ANSC340 0101 9:30am TuTh 10:45am
ANSC420 0101 1:00pm W 5:00pm
ANSC435 0101 2:00pm Tu 3:15pm
ANSC435 0101 2:00pm Th 5:00pm
ANSC444 0101 2:00pm MWF 2:50pm
ANSC450 0101 3:00pm MWF 3:50pm
ANSC452 0101 2:00pm TuTh 3:15pm
ANSC453 0101 4:00pm MW 5:15pm
ANSC644 0101 2:00pm MWF 2:50pm
ANSC644 0101 9:00am Th 9:50am
ANSC688P 0101 1:00pm MW 2:15pm
ANSC688W 0101 4:00pm MW 5:15pm
ANSC688Z 0101 10:00am MW 11:15am
ANSC698C 0101 4:00pm W 4:50pm
ANTH220 0101 9:30am TuTh 10:45am
ANTH220 0101 8:00am W 10:00am
ANTH220 0102 9:30am TuTh 10:45am
ANTH220 0102 11:00am W 1:00pm
ANTH220 0103 9:30am TuTh 10:45am
ANTH220 0103 2:00pm W 4:00pm
ANTH220 0104 9:30am TuTh 10:45am
ANTH220 0104 8:00am M 10:00am
ANTH220 0105 9:30am TuTh 10:45am
ANTH220 0105 11:00am M 1:00pm
ANTH220 0106 9:30am TuTh 10:45am
ANTH220 0106 2:00pm M 4:00pm
ANTH240 0101 2:00pm TuTh 2:50pm
ANTH240 0101 9:00am F 9:50am
ANTH240 0102 2:00pm TuTh 2:50pm
ANTH240 0102 11:00am F 11:50am
ANTH240 0103 2:00pm TuTh 2:50pm
ANTH240 0103 12:00pm F 12:50pm
ANTH240 0201 11:00am MWF 11:50am
ANTH240 0301 12:00pm MW 12:50pm
ANTH240 0301 12:00pm F 12:50pm
ANTH240 0302 12:00pm MW 12:50pm
ANTH240 0302 1:00pm F 1:50pm
ANTH260 0101 10:00am MW 10:50am
ANTH260 0101 11:00am M 11:50am
ANTH260 0102 10:00am MW 10:50am
ANTH260 0102 11:00am W 11:50am
ANTH260 0103 10:00am MW 10:50am
ANTH260 0103 11:00am F 11:50am
ANTH260 0104 10:00am MW 10:50am
ANTH260 0104 11:00am Tu 11:50am
ANTH260 0105 10:00am MW 10:50am
ANTH260 0105 11:00am Th 11:50am
ANTH260 0201 3:30pm TuTh 4:45pm
ANTH298I 0101 11:00am MW 12:15pm
ANTH340 0101 4:30pm MW 5:45pm
ANTH360 0101 9:30am TuTh 10:45am
ANTH410 0101 6:00pm M 8:40pm
ANTH428F 0101 11:00am TuTh 12:15pm
ANTH447 0101 12:30pm TuTh 1:45pm
ANTH448P 0101 3:00pm Tu 5:40pm
ANTH448W 0101 3:00pm MW 4:15pm
ANTH454 0101 11:00am TuTh 12:15pm
ANTH468B 0101 6:00pm Th 8:40pm
ANTH468F 0101 4:00pm M 6:40pm
ANTH468G 0101 2:00pm Th 4:45pm
ANTH468K 0101 2:00pm TuTh 3:15pm
ANTH468L 0101 2:00pm M 4:45pm
ANTH468N 0101 2:00pm Th 4:40pm
ANTH468Q 0101 6:00pm M 8:40pm
ANTH610 0101 6:00pm M 8:40pm
ANTH615 0101 2:00pm Th 4:40pm
ANTH617 0101 6:00pm Th 8:40pm
ANTH630 0101 6:00pm W 8:45pm
ANTH646 0101 3:00pm MW 4:15pm
ANTH647 0101 12:30pm TuTh 1:45pm
ANTH654 0101 11:00am TuTh 12:15pm
ANTH688C 0101 2:00pm Th 4:30pm
ANTH688G 0101 2:00pm Th 4:40pm
ANTH688L 0101 2:00pm M 4:45pm
ANTH688Q 0101 6:00pm M 8:40pm
ANTH688T 0101 9:30am TuTh 10:45am
ANTH689F 0101 11:00am TuTh 12:15pm
ANTH689K 0101 2:00pm TuTh 3:15pm
ANTH689R 0101 4:30pm MW 5:45pm
ANTH720 0101 6:00pm Th 8:40pm
ANTH740 0101 3:00pm Tu 5:40pm
AOSC123 0101 12:00pm MW 12:50pm
AOSC123 0101 9:00am F 9:50am
AOSC123 0102 12:00pm MW 12:50pm
AOSC123 0102 11:00am F 11:50am
AOSC123 0103 12:00pm MW 12:50pm
AOSC123 0103 12:00pm F 12:50pm
AOSC123 0104 12:00pm MW 12:50pm
AOSC123 0104 9:30am Th 10:20am
AOSC123 0105 12:00pm MW 12:50pm
AOSC123 0105 11:00am Th 11:50am
AOSC123 0106 12:00pm MW 12:50pm
AOSC123 0106 9:00am F 9:50am
AOSC123 0107 12:00pm MW 12:50pm
AOSC123 0107 9:30am Th 10:20am
AOSC123 0108 12:00pm MW 12:50pm
AOSC123 0108 12:00pm F 12:50pm
AOSC123 0109 12:00pm MW 12:50pm
AOSC123 0109 11:00am Th 11:50am
AOSC200 0101 8:00am TuTh 9:15am
AOSC200 0101 1:00pm W 1:50pm
AOSC200 0102 8:00am TuTh 9:15am
AOSC200 0102 2:00pm W 2:50pm
AOSC200 0103 8:00am TuTh 9:15am
AOSC200 0103 3:00pm W 3:50pm
AOSC200 0104 8:00am TuTh 9:15am
AOSC200 0104 1:00pm W 1:50pm
AOSC200 0201 2:00pm TuTh 3:15pm
AOSC200 0201 2:00pm W 2:50pm
AOSC200 0202 2:00pm TuTh 3:15pm
AOSC200 0202 3:00pm W 3:50pm
AOSC200 0203 2:00pm TuTh 3:15pm
AOSC200 0203 1:00pm M 1:50pm
AOSC200 0204 2:00pm TuTh 3:15pm
AOSC200 0204 2:00pm M 2:50pm
AOSC201 0101 2:30pm Tu 4:30pm
AOSC201 0102 8:00am W 10:00am
AOSC201 0103 8:00am F 10:00am
AOSC201 0104 8:00am M 10:00am
AOSC401 0101 10:00am F 12:45pm
AOSC432 0101 9:30am TuTh 10:45am
AOSC434 0101 2:00pm TuTh 3:15pm
AOSC611 0101 11:00am MWF 11:50am
AOSC615 0101 12:30pm TuTh 1:45pm
AOSC617 0101 9:30am MW 10:45am
