ANSC214 1 0101 20 01478 0 |E. Orlando and Z. Xiao|
ANSC214 0 0102 20 01479 0 |E. Orlando and Z. Xiao|
ANSC214 1 0103 20 01480 0 |E. Orlando and Z. Xiao|
ANSC214 0 0104 20 01481 6 |E. Orlando and Z. Xiao|
ANSC232 0 0101 20 01490 1 |A. Burk|
ANSC232 0 0102 20 01491 2 |A. Burk|
ANSC235 0 0101 30 01501 1 |S. Balcom|
ANSC250 0 0101 80 01531 11 |S. Balcom|
ANSC260 0 0101 20 01541 9 |A. Black|
ANSC315 1 0101 20 01551 0 |R. Erdman|
ANSC315 1 0102 20 01552 0 |R. Erdman|
ANSC315 0 0103 20 01553 0 |R. Erdman|
ANSC327 0 0101 88 01563 0 |F. Harrow-Plante and F. Siewerdt|
ANSC340 0 0101 45 01573 8 |S. Balcom|
ANSC388 0 5301 5 01850 4 |F. Siewerdt|
ANSC420 1 0101 20 01627 0 |R. Peters|
ANSC435 4 0101 12 01637 0 |C. Keefer|
ANSC444 0 0101 60 01647 49 |E. Orlando|
ANSC450 0 0101 40 01657 33 |F. Siewerdt|
ANSC452 0 0101 20 01667 6 |N. Zimmermann|
ANSC453 0 0101 65 01677 2 |W. Stricklin and K. Drnec|
ANSC489B 0 0101 10 01706 1 |J. Halperin|
ANSC644 0 0101 10 01717 1 |E. Orlando and T. Porter|
ANSC688P 0 0101 15 01731 13 |B. Bequette|
ANSC688W 0 0101 6 01750 4 |W. Stricklin|
ANSC688Z 0 0101 20 01751 14 |F. Siewerdt|
ANSC698C 0 0101 30 01760 24 |N. Zimmermann|
ANTH220 25 0101 18 01894 0 |T. Leslie|
ANTH220 23 0102 18 01895 0 |T. Leslie|
ANTH220 30 0103 18 01896 0 |T. Leslie|
ANTH220 25 0104 18 01897 0 |T. Leslie|
ANTH220 22 0105 18 01898 0 |T. Leslie|
ANTH220 27 0106 18 01899 0 |T. Leslie|
ANTH240 6 0101 25 01909 0 |S. Brighton|
ANTH240 6 0102 25 01910 0 |S. Brighton|
ANTH240 7 0103 25 01911 0 |S. Brighton|
ANTH240 3 0201 40 01912 0 |M. Leone|
ANTH240 3 0301 20 01913 0 |A. Fracchia|
ANTH240 2 0302 20 01914 0 |A. Fracchia|
ANTH260 0 0101 27 01924 2 |W. Stuart|
ANTH260 0 0102 27 01925 11 |W. Stuart|
ANTH260 0 0103 27 01926 9 |W. Stuart|
ANTH260 0 0104 27 01927 5 |W. Stuart|
ANTH260 0 0105 27 01928 17 |W. Stuart|
ANTH260 4 0201 36 01929 0 |M. Stevens|
ANTH298I 23 0101 60 66590 0 |L. Frederik Meer|
ANTH340 9 0101 37 01939 0 |M. Palus|
ANTH360 0 0101 22 01961 0 |W. Stuart|
ANTH398F 0 1002 10 02014 10 |E. Chambers|
ANTH398F 0 1003 10 02015 10 |W. Stuart|
ANTH398F 0 1004 10 02016 10 |T. Whitehead|
ANTH398F 0 1005 10 02017 10 |J. Freidenberg|
ANTH398F 0 1006 10 02018 10 |J. Chernela|
ANTH398F 0 1007 10 02019 10 |M. Paolisso|
ANTH398F 0 2002 10 02020 8 |T. Leslie|
ANTH398F 0 3001 10 02021 10 |M. Leone|
ANTH398F 0 3002 10 02022 10 |P. Shackel|
ANTH398F 0 3003 10 02483 10 |S. Brighton|
ANTH398R 0 0101 20 02043 20 |W. Stuart|
ANTH398R 0 0102 20 02044 20 |F. Jackson|
ANTH398T 0 0101 20 02054 20 |W. Stuart|
ANTH398T 0 0102 20 02055 20 |F. Jackson|
ANTH410 2 0101 20 02065 0 |J. Freidenberg|
ANTH428F 12 0101 25 02075 0 |T. Leslie|
ANTH447 2 0101 20 02095 0 |S. Brighton|
ANTH448P 0 0101 15 02105 7 |M. Leone|
ANTH448W 0 0101 25 02115 4 |M. Palus|
ANTH454 13 0101 20 02125 0 |E. Chambers|
ANTH468B 0 0101 20 02135 0 |T. Whitehead|
ANTH468F 4 0101 35 02155 0 |L. Gordon|
ANTH468G 0 0101 6 02484 0 |E. Chambers|
ANTH468K 1 0101 30 02156 0 |W. Stuart|
ANTH468L 3 0101 5 02165 0 |J. Chernela|
ANTH468N 0 0101 20 02175 0 |T. Whitehead|
ANTH468Q 0 0101 30 02185 8 |J. Chernela|
ANTH498C 0 0101 20 02239 18 |T. Whitehead|
ANTH610 0 0101 10 02249 9 |J. Freidenberg|
ANTH615 0 0101 10 02259 7 STAFF
ANTH617 0 0101 10 02269 6 |T. Whitehead|
ANTH630 0 0101 20 02289 9 |M. Paolisso|
ANTH646 0 0101 10 02299 6 |M. Palus|
ANTH647 0 0101 10 02309 8 |S. Brighton|
ANTH654 0 0101 10 02319 3 |E. Chambers|
ANTH688C 0 0101 5 02480 3 |L. Frederik Meer|
ANTH688G 0 0101 6 02350 4 |E. Chambers|
ANTH688L 0 0101 10 02361 9 |J. Chernela|
ANTH688Q 0 0101 10 02380 6 |J. Chernela|
ANTH688T 0 0101 5 02390 5 |W. Stuart|
ANTH689F 0 0101 5 02413 3 |T. Leslie|
ANTH689K 0 0101 5 02414 4 |W. Stuart|
ANTH689R 0 0101 5 02423 5 |M. Palus|
ANTH701 0 1002 10 02424 9 STAFF
ANTH701 0 1003 10 02425 9 STAFF
ANTH701 0 1004 10 02426 9 STAFF
ANTH701 0 1005 10 02427 9 STAFF
ANTH701 0 1006 10 02428 9 STAFF
ANTH701 0 1007 10 02429 9 STAFF
ANTH701 0 2001 10 02430 10 STAFF
ANTH701 0 2002 10 02431 10 STAFF
ANTH701 0 3001 10 02432 9 STAFF
ANTH701 0 3002 10 02481 9 STAFF
ANTH701 0 3003 10 02482 10 STAFF
ANTH720 0 0101 25 02479 16 |T. Leslie|
ANTH740 0 0101 15 02444 0 |M. Leone|
AOSC123 1 0101 25 02525 0 |M. Evans and R. Pinker and E. Kasischke|
AOSC123 3 0102 25 02526 0 |M. Evans and R. Pinker and E. Kasischke|
AOSC123 6 0103 25 02527 0 |M. Evans and R. Pinker and E. Kasischke|
AOSC123 2 0104 25 02528 0 |M. Evans and R. Pinker and E. Kasischke|
AOSC123 0 0105 25 02529 0 |M. Evans and R. Pinker and E. Kasischke|
AOSC123 1 0106 25 02530 0 |M. Evans and R. Pinker and E. Kasischke|
AOSC123 3 0107 25 02531 0 |M. Evans and R. Pinker and E. Kasischke|
AOSC123 5 0108 25 02532 0 |M. Evans and R. Pinker and E. Kasischke|
AOSC123 0 0109 25 02533 0 |M. Evans and R. Pinker and E. Kasischke|
AOSC200 0 0101 30 02543 0 |R. Hudson|
AOSC200 0 0102 30 02544 11 |R. Hudson|
AOSC200 0 0103 30 02545 15 |R. Hudson|
AOSC200 0 0104 30 02546 10 |R. Hudson|
AOSC200 0 0201 30 02547 0 |R. Hudson|
AOSC200 0 0202 30 02548 0 |R. Hudson|
AOSC200 0 0203 30 02549 0 |R. Hudson|
AOSC200 0 0204 30 02550 0 |R. Hudson|
AOSC201 0 0101 18 02560 0 |Y. Zhou|
AOSC201 2 0102 18 02561 0 |A. Monarski|
AOSC201 0 0103 18 02562 0 |J. Hall|
AOSC201 0 0104 18 02563 0 |A. Kavvada|
AOSC401 0 0101 25 02573 17 |Z. Li|
AOSC432 0 0101 20 02593 16 |N. Zeng|
AOSC434 1 0101 32 02603 0 |R. Salawitch|
AOSC611 0 0101 25 02625 12 |D. Zhang|
AOSC615 0 0101 30 02626 26 |K. Ide|
AOSC617 0 0101 25 02635 7 |S. Nigam|
AOSC621 0 0101 40 02645 26 |Z. Li|
AOSC630 0 0101 15 02656 5 |E. Kalnay|
AOSC637 0 0101 20 02665 16 |R. Dickerson|
AOSC658R 1 0101 32 02686 0 |R. Salawitch|
AOSC675 0 0101 10 02696 3 |N. Zeng|
AOSC818 0 0101 20 02723 14 |K. Ide|
ARAB107 2 0101 15 02834 0 |D. El-Hefnawy|
ARAB205 0 0101 15 02845 1 |M. Cherrouk|
ARAB205 0 0201 15 02846 2 |P. Glanville|
ARAB298B 12 0101 30 02857 0 |S. Elsisi|
ARAB305 0 0101 15 02866 3 |P. Glanville|
ARAB321 3 0101 15 02886 0 |A. Elgibali|
ARAB402 3 0101 15 02887 0 |A. Elgibali|
ARCH101 0 0101 15 02936 0 |J. Obringer and M. Gomez|
ARCH101 0 0301 15 02938 5 |J. Obringer and K. Melluish and M. Gomez|
ARCH101 0 0401 15 02939 0 |J. Obringer and K. Melluish and M. Gomez|
ARCH170 0 0101 21 02949 0 |L. Quiros Pacheco|
ARCH170 0 0102 21 02950 0 |L. Quiros Pacheco|
ARCH170 0 0103 21 02951 0 |L. Quiros Pacheco|
ARCH170 0 0104 21 02952 0 |L. Quiros Pacheco|
ARCH170 0 0105 21 02953 0 |L. Quiros Pacheco|
ARCH170 0 0106 21 02954 6 |L. Quiros Pacheco|
ARCH170 0 0107 21 02955 0 |L. Quiros Pacheco|
ARCH170 1 0109 21 02957 0 |L. Quiros Pacheco|
ARCH170 0 0110 19 02958 2 |L. Quiros Pacheco|
ARCH170 0 0111 21 02959 0 |L. Quiros Pacheco|
ARCH170 0 0112 21 02960 3 |L. Quiros Pacheco|
ARCH224 1 0101 40 02971 0 |R. Vann|
ARCH226 0 0101 150 02981 53 |E. Waskom|
ARCH242 0 0101 13 02991 0 |L. Escobal|
ARCH242 0 0102 13 02992 0 |L. Escobal|
ARCH242 0 0103 13 02993 0 |L. Escobal|
ARCH242 0 0104 13 02994 0 |L. Escobal|
ARCH242 0 0105 12 02995 1 |L. Escobal|
ARCH289I 0 0101 60 02996 31 |R. Bennett|
ARCH401 0 0101 54 03005 0 |K. Melluish|
ARCH403 0 0101 56 03019 18 |P. Mortensen|
ARCH405 0 0101 12 03031 2 |G. Rockcastle|
ARCH407 0 0101 12 03041 3 |S. Hurtt|
ARCH411 0 0101 66 03051 1 |R. Cousart|
ARCH413 0 0101 66 03062 21 |C. Bovill|
ARCH418Y 0 0101 15 03072 1 |B. Grieb and M. Binder|
ARCH420 0 0101 45 03082 0 |I. Gournay|
ARCH427 0 0101 12 03092 4 |I. Gournay|
ARCH445 0 0101 25 03112 8 |E. Northen|
ARCH460 0 0101 35 03122 12 |H. Koliji|
ARCH461 0 0101 25 03123 10 |C. Bovill|
ARCH470 0 0101 17 03132 5 |R. Schneck|
ARCH478C 2 0101 14 03142 0 |A. Rubeling|
ARCH478Y 0 0101 10 03162 1 |B. Williams and P. Cossard|
ARCH481 0 0101 10 03172 3 |R. Vann|
ARCH601 0 0101 27 03182 19 |L. Quiros Pacheco|
ARCH628B 0 0101 15 03194 4 |I. Gournay|
ARCH635 0 0101 19 03204 0 |J. Senkevitch|
ARCH655 0 0101 12 03214 0 |M. Bell|
ARCH678Y 0 0101 12 03236 8 |P. Cossard and B. Williams|
ARCH797 0 0101 15 03256 3 |R. Bennett|
ARCH798 0 0101 15 03266 2 |B. Kelly|
ARCH798 0 0201 10 03267 2 |B. Kelly|
AREC200 0 0101 35 03345 0 |D. Lipton and D. Parker and D. Guignet|
AREC200 0 0102 35 03346 0 |D. Lipton and D. Parker and R. Ali|
AREC200 0 0103 35 03347 11 |D. Lipton and D. Parker and D. Guignet|
AREC200 0 0104 35 03348 22 |D. Lipton and D. Parker and R. Ali|
AREC240 2 0101 40 03358 0 |R. Williams III and I. Page|
AREC240 0 0102 40 03359 0 |R. Williams III and I. Page|
AREC332 0 0101 80 03369 6 |D. Parker|
AREC365 0 0101 286 03379 9 |H. Leathers|
AREC382 12 0101 30 03389 0 |A. Alberini|
AREC388 0 3103 5 03416 5 |K. Leonard|
AREC388 0 3104 5 03417 4 |R. Lopez|
AREC404 0 0101 35 03442 1 |R. Lopez|
AREC405 5 0101 45 03452 0 |R. Chambers|
AREC427 10 0101 30 03462 0 |H. Leathers|
AREC435 3 0101 50 03472 0 |J. Hanson|
AREC445 4 0101 28 03482 0 |M. Nerlove|
AREC610 0 0101 25 03492 18 |R. Chambers and A. Ortiz Bobea|
AREC624 0 0101 30 03502 16 |R. Just and A. Alberini and J. Flory|
AREC645 0 0101 20 03512 16 |R. Lopez|
AREC845 0 0101 20 03560 16 |R. Lopez|
AREC869K 0 0101 22 03570 18 |R. Just|
AREC869W 0 0101 20 03580 14 |R. Williams III|
ARHU286 0 0101 20 03678 18 |P. Nadler|
ARHU318A 0 0101 15 03688 3 |E. Freeman|
ARHU318B 0 0101 15 03698 5 |V. Salgado|
ARHU318C 0 0101 15 03708 10 |J. Freeman|
ARHU319A 0 0101 20 03718 5 |J. Schmidt|
ARHU338 0 0101 2 03728 1 |J. Schmidt|
ARHU338 0 0201 1 03729 0 |V. Salgado|
ARHU386 0 0201 20 03739 16 |P. Nadler|
ARHU468 0 0101 25 03749 8 |J. Greene|
ARHU486 0 0101 20 03759 13 |P. Nadler|
ARMY102 0 0101 40 03819 18 |S. Cook|
ARMY104 0 0101 50 03829 1 |S. Cook|
ARMY202 0 0102 30 03839 15 |T. McCall|
ARMY302 0 0101 30 03849 18 |T. McCall|
ARMY402 0 0101 30 03859 15 |S. Cook|
ARSC059 0 0101 250 03909 128 |D. Shaltanis|
ARSC101 0 0101 40 03920 26 |J. Titkemeier|
ARSC101 0 0102 50 03921 11 |J. Titkemeier|
ARSC101 0 0103 18 03922 5 |J. Titkemeier|
ARSC201 0 0101 49 03932 20 |D. Shaltanis|
ARSC201 0 0102 25 03933 11 |D. Shaltanis|
ARSC201 0 0103 25 03934 13 |R. Pecoraro|
ARSC301 0 0101 25 03944 18 |V. Gonzalez|
ARSC301 0 0102 20 03945 9 |V. Gonzalez|
ARSC399 0 0101 10 03955 9 |R. Pecoraro|
ARSC401 0 0101 18 03965 1 |T. Sadiq|
ARSC401 0 0102 15 03966 11 |T. Sadiq|
ARTH200 2 0101 28 04016 0 |L. Martinez|
ARTH200 2 0102 32 04017 0 |L. Martinez|
ARTH200 2 0103 32 04018 0 |L. Martinez|
ARTH200 2 0104 28 04019 0 |L. Martinez|
ARTH200 2 0105 28 04020 0 |L. Martinez|
ARTH200 1 0106 32 04021 0 |L. Martinez|
ARTH250 2 0101 28 04046 0 |B. Bland|
ARTH250 0 0102 28 04047 0 |B. Bland|
ARTH250 5 0103 28 04048 0 |B. Bland|
ARTH250 3 0104 30 04049 0 |B. Bland|
ARTH250 2 0105 30 04050 0 |B. Bland|
ARTH250 5 0106 30 04051 0 |B. Bland|
ARTH275 0 0101 28 04061 14 |S. Hill|
ARTH275 0 0102 31 04062 8 |S. Hill|
ARTH275 0 0103 28 04063 20 |S. Hill|
ARTH275 0 0104 28 04064 18 |S. Hill|
ARTH275 0 0105 31 04065 1 |S. Hill|
ARTH275 0 0106 30 04066 24 |S. Hill|
ARTH320 15 0101 30 04091 0 |L. Martinez|
ARTH324 23 0101 30 04101 0 |M. Gill|
ARTH335 9 0101 30 04111 0 |A. Georgievska-Shine|
ARTH350 22 0101 30 04121 0 |S. Mansbach|
ARTH357 16 0101 30 04131 0 |W. Grossman|
ARTH370 11 0101 30 04141 0 |B. Bland|
ARTH382 0 0101 30 04151 0 |M. Bari|
ARTH383 0 0101 30 04161 10 |A. Volk|
ARTH389A 19 0101 30 04171 0 |G. Metcalf|
ARTH389M 0 0101 30 04181 0 |A. McEwen|
ARTH444 11 0101 30 04191 0 |W. Pressly|
ARTH488A 7 0101 12 04201 0 |S. Mansbach|
ARTH488C 7 0101 12 04221 0 |A. McEwen|
ARTH488D 7 0101 12 04231 0 |M. O'Neil|
ARTH489F 11 0101 30 04241 0 |J. Kuo|
ARTH496 0 0101 10 04261 4 |A. Georgievska-Shine|
ARTH738 0 0101 8 04294 1 |A. Colantuono|
ARTH739 0 0101 8 04304 0 |A. Wheelock|
ARTH759 0 0101 8 04314 2 |J. Shannon|
ARTH779 0 0101 8 04324 1 |A. Volk|
ARTH789 0 0101 8 04334 3 |S. Hill|
ARTT100 3 0101 18 04472 0 |A. Peace|
ARTT100 3 0201 18 04473 0 |A. Peace|
ARTT100 0 0301 18 04474 2 |W. Jacobs|
ARTT100 0 0401 18 04475 2 |W. Jacobs|
ARTT100 0 0501 18 04476 1 |W. Jacobs|
ARTT100 0 0601 18 04477 7 |W. Jacobs|
ARTT100 8 0701 18 04478 0 |J. Thorpe|
ARTT100 7 0801 18 04479 0 |J. Thorpe|
ARTT100 3 0901 18 04480 0 |L. Berns|
ARTT100 4 1001 18 04481 0 |L. Berns|
ARTT110 9 0101 18 04492 0 |T. Lapinski|
ARTT110 11 0201 18 04493 0 |T. Lapinski|
ARTT110 4 0301 15 04494 0 |J. Pinder|
ARTT110 5 0401 15 04495 0 |J. Pinder|
ARTT110 5 0501 18 04496 0 |A. Nelson|
ARTT110 6 0601 18 04497 0 |A. Nelson|
ARTT110 4 0701 18 04498 0 |D. Knobel|
ARTT110 3 0801 18 04499 0 |D. Knobel|
ARTT110 0 0901 18 04500 0 |D. Gavin|
ARTT110 0 1001 18 04501 2 |D. Gavin|
ARTT200 0 0101 18 04526 5 |F. Sham|
ARTT200 2 0201 18 04527 0 |S. Jones|
ARTT200 1 0301 18 04528 0 |Z. Jackson|
ARTT200 1 0401 18 04529 0 |J. Stone|
ARTT210 6 0101 18 04549 0 |W. Richardson|
ARTT210 3 0201 18 04550 0 |T. Horjus|
ARTT210 5 0301 18 04551 0 |L. Berns|
ARTT210 5 0401 18 04552 0 |P. Kehoe|
ARTT320 8 0101 20 04563 0 |E. Conover|
ARTT320 13 0201 20 04564 0 |W. Richardson|
ARTT320 6 0301 15 04565 0 |R. Klank|
ARTT330 8 0101 14 04575 0 |S. Jones|
ARTT331 7 0101 14 04585 0 |J. Burrowes|
ARTT333 8 0101 12 04595 0 |F. Sham|
ARTT333H 0 0101 2 04605 2 |F. Sham|
ARTT340 9 0101 12 04615 0 |M. Humphrey|
ARTT343 16 0101 8 04625 0 |J. Strom|
ARTT343H 0 0101 2 04635 2 |J. Strom|
ARTT344 8 0101 12 04645 0 |M. Humphrey|
ARTT350 1 0101 20 04655 0 |A. Buck-Coleman|
ARTT351 0 0101 20 04665 1 |J. Thorpe|
ARTT352 0 0101 20 04675 1 |A. Buck-Coleman|
ARTT353 13 0101 10 04686 0 |S. Devore|
ARTT354 0 0101 14 04696 0 |N. Ratnapala|
ARTT354 0 0201 12 04697 0 |N. Ratnapala|
ARTT354 0 0301 12 04698 0 |N. Ratnapala|
ARTT354 2 0401 12 04699 0 |N. Ratnapala|
ARTT354 2 0501 12 04700 0 |N. Ratnapala|
ARTT418B 6 0101 18 04787 0 |T. Horjus|
ARTT418B 5 0201 18 04788 0 |P. Craig|
