AOSC123 0 12 0106 25 02530 |M. Evans and R. Pinker and E. Kasischke|
AOSC123 0 2 0107 25 02531 |M. Evans and R. Pinker and E. Kasischke|
AOSC123 3 0 0108 25 02532 |M. Evans and R. Pinker and E. Kasischke|
AOSC123 0 0 0109 25 02533 |M. Evans and R. Pinker and E. Kasischke|
AOSC200 1 0 0101 30 02543 |R. Hudson|
AOSC200 0 14 0102 30 02544 |R. Hudson|
AOSC200 0 19 0103 30 02545 |R. Hudson|
AOSC200 0 15 0104 30 02546 |R. Hudson|
AOSC200 0 1 0201 30 02547 |R. Hudson|
AOSC200 0 0 0202 30 02548 |R. Hudson|
AOSC200 0 1 0203 30 02549 |R. Hudson|
AOSC200 0 1 0204 30 02550 |R. Hudson|
AOSC201 0 0 0101 18 02560 |Y. Zhou|
AOSC201 0 0 0102 18 02561 |A. Monarski|
AOSC201 0 1 0103 18 02562 |J. Hall|
AOSC201 0 0 0104 18 02563 |A. Kavvada|
AOSC401 0 17 0101 25 02573 |Z. Li|
AOSC432 0 16 0101 20 02593 |N. Zeng|
AOSC434 0 13 0101 32 02603 |R. Salawitch|
AOSC611 0 18 0101 25 02625 |D. Zhang|
AOSC615 0 28 0101 30 02626 |K. Ide|
AOSC617 0 12 0101 25 02635 |S. Nigam|
AOSC621 0 33 0101 40 02645 |Z. Li|
AOSC630 0 12 0101 15 02656 |E. Kalnay|
AOSC637 0 18 0101 20 02665 |R. Dickerson|
AOSC675 0 4 0101 10 02696 |N. Zeng|
AOSC818 0 17 0101 20 02723 |K. Ide|
ARAB107 2 0 0101 15 02834 |D. El-Hefnawy|
ARAB205 0 0 0101 15 02845 |M. Cherrouk|
ARAB205 0 2 0201 15 02846 |P. Glanville|
ARAB298B 13 0 0101 30 02857 |S. Elsisi|
ARAB305 0 4 0101 15 02866 |P. Glanville|
ARAB321 3 0 0101 15 02886 |A. Elgibali|
ARAB402 4 0 0101 15 02887 |A. Elgibali|
ARCH101 0 0 0101 15 02936 |J. Obringer and M. Gomez|
ARCH101 0 7 0301 15 02938 |J. Obringer and K. Melluish and M. Gomez|
ARCH101 0 0 0401 15 02939 |J. Obringer and K. Melluish and M. Gomez|
ARCH170 0 0 0101 21 02949 |L. Quiros Pacheco|
ARCH170 0 1 0102 21 02950 |L. Quiros Pacheco|
ARCH170 0 11 0103 21 02951 |L. Quiros Pacheco|
ARCH170 0 1 0104 21 02952 |L. Quiros Pacheco|
ARCH170 0 0 0105 21 02953 |L. Quiros Pacheco|
ARCH170 0 16 0106 21 02954 |L. Quiros Pacheco|
ARCH170 0 1 0107 21 02955 |L. Quiros Pacheco|
ARCH170 0 5 0109 21 02957 |L. Quiros Pacheco|
ARCH170 0 3 0110 19 02958 |L. Quiros Pacheco|
ARCH170 0 0 0111 21 02959 |L. Quiros Pacheco|
ARCH170 0 14 0112 21 02960 |L. Quiros Pacheco|
ARCH224 1 0 0101 40 02971 |R. Vann|
ARCH226 0 58 0101 150 02981 |E. Waskom|
ARCH242 0 0 0101 13 02991 |L. Escobal|
